"NOMBRE";"SEXO";"AÑO.DE.NACIMIENTO";"G.PARLAMENTARIO";"ECIVIL";"NIVEL.ACADEMICO";"ORIGEN";"ESCAÑO";"NAINE";"CARGO";"RANGO.EDAD"
"Pedro, Acedo Penco ";"Hombre";1955;"PP";"Divorciado/a";"Educación Superior";"Badajoz";NA;NA;"Diputado. Alcalde de Mérida durante 16 años. Diputado autonómico de Extremadura durante ocho años. Senador durante 4 años. Concejal durante 9 años. ";"60-64"
"Joseba Andoni, Agirretxea Urresti";"Hombre";1966;"EAJ-PNV";"Casado/a";"Educación Superior";"Gipuzkoa";NA;NA;"Diputado. Concejal en Ondarroa (1987-1990). Miembro de la Asamblea Nacional del PNV.";"50-54"
"Ernesto, Aguiar Rodríguez";"Hombre";1961;"PP";"Casado/a";"Educación Superior";"Santa Cruz de Tenerife";NA;NA;"Diputado. Concejal del Ayuntamiento de Breña Baja (1996-1999).  Consejero del Cabildo Insular de La Palma (1999-2003). Diputado del Parlamento de Canarias (2004-2007).  Director General de Desarrollo Rural de Canarias (2007-2010)";"55-59"
"Ramón, Aguirre Rodríguez";"Hombre";1953;"PP";"Casado/a";"No consta";"Guadalajara";NA;NA;"Diputado. Presidente de la Comisión del Pacto de Toledo.  Presidente del Instituto de Crédito Oficial (ICO).  Consejero Delegado de Metro de Madrid S.A. Presidente de la Sociedad Estatal de Participaciones Industriales (SEPI)";"65-69"
"Nayua Miram, Alba Goveli";"Mujer";1990;"Podemos";"Soltero/a";"Educación Superior";"Gipuzkoa";NA;NA;"Diputada. Secretaria General de Podemos Euskadi";"25-29"
"Maria Dolores, Alba Mullor";"Mujer";1964;"PP";"Casado/a";"Educación Superior";"Alicante";NA;NA;"Diputada. Concejal del Ayuntamiento de Alcoy hasta 2007, en la oposición y en el Gobierno como Concejala de Hacienda.  Asesora de Asuntos Parlamentarios de la Consellería de Cultura (2007-2008) ";"55-59"
"Joaquín, Abaladejo Martínez";"Hombre";1973;"PP";"Casado/a";"Educación Superior";"Alicante";NA;NA;"Diputado. Concejal del Ayuntamiento de Torrevieja";"45-49"
"Miriam, Alconchel Gonzaga";"Mujer";1978;"PSOE";"Casado/a";"Educación Superior";"Cádiz";NA;NA;"Diputada. Delegada Territorial de Igualdad, Salud y Políticas Sociales en Cádiz de la Junta de Andalucía (2013-2015). Concejal del Ayuntamiento de Jerez (2007-2013).";"40-44"
"Iñigo Jesús, Allí Martínez";"Hombre";1973;"UPN-PP";"Divorciado/a";"Educación Superior";"Navarra";NA;NA;"Diputado. Fundador de la Asociación Síndrom UP! por la Discapacidad.  Ex-Director de Capital Riesgo. Ex-Director del Centro Cultural Civican. Ex - Consejero de Políticas Sociales del Gobierno de Navarra. ";"45-49"
"Félix, Alonso Cantorné";"Hombre";1959;"Podemos";"Divorciado/a";"Educación Superior";"Tarragona";NA;NA;"Diputado. Alcalde de Altafulla.  Responsable de actividad sindical del Sindicato de Periodistes de Catalunya (1993-2001).";"60-64"
